leg_no,anzahl_personal,person_1_name,person_1_att1,person_1_att2,person_1_att3,person_1_ca,person_1_cp,person_2_name,person_2_att1,person_2_att2,person_2_att3,person_2_ca,person_2_cp,person_3_name,person_3_att1,person_3_att2,person_3_att3,person_3_ca,person_3_cp,person_4_name,person_4_att1,person_4_att2,person_4_att3,person_4_ca,person_4_cp,person_5_name,person_5_att1,person_5_att2,person_5_att3,person_5_ca,person_5_cp,person_6_name,person_6_att1,person_6_att2,person_6_att3,person_6_ca,person_6_cp,person_7_name,person_7_att1,person_7_att2,person_7_att3,person_7_ca,person_7_cp,person_8_name,person_8_att1,person_8_att2,person_8_att3,person_8_ca,person_8_cp,person_9_name,person_9_att1,person_9_att2,person_9_att3,person_9_ca,person_9_cp,crew_group_A,crew_group_B,crew_group_B2,crew_group_C,crew_group_Start,change_person_1,change_person_2,change_person_3,change_person_4,change_person_5,change_person_6,change_person_7,change_person_8,change_person_9
272005011,6,Jason Brown,nan,nan,nan,0,1,Jacob Stein,nan,nan,nan,1,0,Cody Brown,nan,nan,nan,0,1,Larry Morales,nan,nan,nan,1,0,Jessica Hendricks,nan,nan,nan,1,0,Brian Moore,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272009188,5,Scott Baker,nan,nan,nan,0,1,Ruth Hoffman,nan,nan,nan,1,0,Daniel George,nan,nan,nan,1,0,David Moody,nan,nan,nan,0,1,Brian Maxwell,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
271984537,4,Cory Cooper,nan,nan,nan,1,0,Morgan Foster,nan,nan,nan,0,1,James Sandoval,nan,nan,nan,1,0,Brian Lester,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272025831,6,Anne Davis,nan,nan,nan,1,0,Miss Amanda Harris MD,nan,nan,nan,0,1,Amy Dunn,nan,nan,nan,1,0,Brian Lee,nan,nan,nan,1,0,Kimberly Pratt,nan,nan,nan,1,0,Russell Yang,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272006092,4,Renee Fisher,nan,nan,nan,1,0,Rebecca Castro,nan,nan,nan,0,1,Robert Yoder,nan,nan,nan,0,1,Todd Young,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272016704,4,John Houston,nan,nan,nan,1,0,Matthew Valdez,nan,nan,nan,0,1,Gary Nguyen,nan,nan,nan,0,1,Alexander Poole,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272096998,6,Dean Welch,nan,nan,nan,0,1,Andrew Perez,nan,nan,nan,1,0,Brian Porter,nan,nan,nan,1,0,Aaron Walker,nan,nan,nan,1,0,Lisa Wilson,nan,nan,nan,1,0,Brian Miller,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272027070,7,Nicholas Evans,nan,nan,nan,1,0,Jessica Hernandez,nan,nan,nan,1,0,Teresa Haynes,nan,nan,nan,1,0,Angela Maynard,nan,nan,nan,0,1,Stephanie Gregory,nan,nan,nan,1,0,Phyllis Hess,nan,nan,nan,0,1,Stephen Martin,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272101830,6,Emily Blair,nan,nan,nan,1,0,Hannah Holland,nan,nan,nan,1,0,Adam Hoffman,nan,nan,nan,1,0,Holly Roberts,nan,nan,nan,0,1,Jeffrey Brown,nan,nan,nan,1,0,Sarah Keith,nan,nan,nan,0,1,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
272024970,6,Sean Weeks,nan,nan,nan,1,0,Tony Lloyd,nan,nan,nan,1,0,Caleb Davidson,nan,nan,nan,1,0,Andrew Patterson,nan,nan,nan,0,1,Joshua Ellis,nan,nan,nan,0,1,Cassandra Lewis,nan,nan,nan,1,0,,,,,0,0,,,,,0,0,,,,,0,0,False,False,False,False,True,,,,,,,,,
